Rank,Name,Platform,Year,Publisher,NA_Sales
308,494,17,2013.0,525,1.33
309,6053,2,2014.0,359,0.67
310,6155,17,2006.0,456,1.53
311,9810,13,2011.0,66,1.15
312,9660,16,2005.0,347,0.93
313,2507,11,1988.0,144,0.1
314,9004,17,2010.0,456,2.12
315,6339,18,2015.0,494,2.48
316,11150,16,2004.0,275,0.16
317,3232,4,2007.0,359,0.87
318,6558,15,1995.0,456,2.12
319,9963,5,1992.0,359,2.21
320,5551,4,2009.0,359,2.26
321,799,26,2007.0,359,1.06
322,6794,2,2011.0,359,1.44
323,672,18,2015.0,549,1.49
324,5557,26,2011.0,446,1.14
325,5103,28,2008.0,21,2.4
326,7877,15,1996.0,542,1.82
327,7752,19,2007.0,456,1.4
328,4703,26,2013.0,525,1.98
329,10099,13,2002.0,138,2.03
330,9358,26,2007.0,359,1.98
331,3955,15,2001.0,138,1.37
332,10148,18,2015.0,347,0.96
333,7868,15,1999.0,137,1.3
334,9031,15,2000.0,456,1.93
335,2945,16,2004.0,138,0.58
336,7368,5,1998.0,359,1.49
337,721,17,2013.0,138,1.3
338,6266,4,2007.0,138,1.59
339,3325,4,2009.0,359,0.0
340,10360,16,2002.0,21,2.13
341,5890,19,2005.0,494,1.65
342,621,10,1998.0,359,1.87
343,8180,16,2002.0,456,2.53
344,3806,26,2008.0,21,2.33
345,3698,17,2013.0,456,0.71
346,4473,16,2001.0,456,2.08
347,7350,10,1999.0,359,2.23
348,2938,17,2009.0,138,0.6
349,7507,16,2007.0,275,0.05
350,1226,18,2013.0,21,1.78
351,7869,16,2005.0,85,2.08
352,10325,18,2016.0,525,1.28
353,9088,16,2004.0,288,1.93
354,2347,13,1994.0,542,2.05
355,10058,16,2001.0,138,2.02
356,1618,4,2007.0,6,1.61
357,5315,7,2001.0,359,2.38
358,9089,16,2005.0,288,2.18
359,10853,15,2000.0,488,2.01
360,1716,15,1997.0,164,1.57
361,3714,16,2006.0,494,1.56
362,9832,16,2002.0,456,1.23
363,10335,15,1997.0,137,1.66
364,4484,16,2001.0,138,1.9
365,5121,16,2005.0,137,1.98
366,721,28,2013.0,138,2.14
367,2939,28,2010.0,138,0.71
368,8097,15,2000.0,488,1.96
369,9022,15,1999.0,456,2.14
370,5155,28,2008.0,138,2.66
371,5559,4,2009.0,446,1.22
372,7871,28,2009.0,85,2.11
373,2326,23,1996.0,359,1.17
374,498,28,2010.0,525,2.84
375,5057,11,1985.0,359,1.64
376,670,28,2009.0,137,2.2
377,1513,4,2006.0,359,0.59
378,2944,16,,138,0.59
379,9068,30,2015.0,138,1.94
380,724,28,2010.0,138,2.09
381,3801,4,2008.0,21,2.11
382,501,30,2014.0,525,2.26
383,3043,17,2012.0,525,0.88
384,6052,2,2013.0,85,0.0
385,987,28,2009.0,494,2.39
386,9659,16,2002.0,347,1.55
387,721,18,2013.0,138,1.34
388,5235,17,2011.0,456,1.82
389,3709,15,1998.0,494,1.13
390,3146,23,1994.0,466,0.86
391,8953,16,2004.0,21,1.75
392,2887,5,1990.0,359,1.73
393,2942,16,2002.0,138,0.46
394,1668,15,2000.0,456,1.56
395,5093,28,2008.0,549,2.03
396,5827,18,2015.0,275,1.08
397,9972,4,2009.0,359,1.43
398,10856,15,1998.0,17,2.47
399,9965,10,2000.0,359,1.9
400,7555,4,2008.0,359,0.65
401,8102,15,1998.0,488,1.63
402,494,28,2013.0,525,1.9
403,2793,4,2006.0,359,0.0
404,4488,16,2002.0,138,1.45
405,7740,16,2002.0,456,1.44
406,5586,26,2012.0,359,1.15
407,9076,16,2005.0,288,1.47
408,5653,16,2001.0,494,1.99
409,9988,16,2003.0,138,1.5
410,495,18,2015.0,525,0.8
411,2073,30,2014.0,21,2.13
412,10523,16,2003.0,21,1.89
413,11002,26,2008.0,359,1.36
414,3691,19,2009.0,456,0.5
415,6066,2,2015.0,85,0.25
416,9655,15,1995.0,456,0.95
417,2925,30,2015.0,138,0.88
418,5087,17,2011.0,494,1.27
419,5442,18,2015.0,138,2.33
420,11296,2,2014.0,359,0.03
421,14,15,1999.0,138,1.72
422,650,11,1983.0,359,0.73
423,4897,23,1995.0,359,2.26
424,10854,15,2000.0,488,1.76
425,1712,19,2007.0,465,1.35
426,3633,19,2008.0,456,1.48
427,2490,23,1995.0,144,0.0
428,1837,28,2010.0,292,2.15
429,2799,16,2003.0,53,1.78
430,9337,27,2015.0,359,1.18
431,2986,17,2010.0,66,1.52
432,5093,26,,549,1.86
433,7912,4,2008.0,359,0.58
434,140,16,2001.0,458,2.06
435,1510,4,2008.0,126,1.88
436,345,7,2001.0,359,1.92
437,5093,4,2008.0,549,1.79
438,8859,4,2005.0,446,1.22
439,7873,17,2012.0,85,0.88
440,3901,30,2014.0,323,1.89
441,2935,16,2007.0,138,0.68
442,8952,15,2000.0,21,1.7
443,6666,15,1998.0,138,2.14
444,9072,10,1999.0,359,2.31
445,7147,4,2006.0,359,0.91
446,9808,17,2007.0,525,1.69
447,2508,11,1990.0,144,0.08
448,4036,17,2010.0,456,1.29
449,5636,28,2010.0,138,1.99
450,2924,28,2014.0,138,0.78
451,2420,16,2002.0,53,2.17
452,5446,16,2001.0,138,2.5
453,11120,11,1986.0,347,1.92
454,988,28,2012.0,494,1.89
455,9960,2,2013.0,359,1.4
456,2318,5,1994.0,359,1.57
457,10100,13,2002.0,138,1.72
458,5637,28,2012.0,138,1.94
459,5059,28,2008.0,21,1.91
460,3043,28,2012.0,525,1.38
461,2802,26,2010.0,126,2.06
462,8224,28,2008.0,488,1.94
463,7768,15,1995.0,525,1.54
464,4905,17,2009.0,456,1.4
465,10315,29,2002.0,525,1.85
466,5917,11,1987.0,359,2.03
467,10843,16,2002.0,488,1.45
468,3515,30,2015.0,323,2.38
469,6336,28,2012.0,494,2.6
470,2426,16,2007.0,53,1.15
471,11491,16,,577,1.57
472,5889,18,2014.0,549,1.01
473,9041,23,1993.0,359,1.61
474,10095,13,2000.0,138,1.67
475,11146,16,2002.0,275,0.12
476,2101,16,2001.0,85,1.36
477,348,2,2015.0,359,0.47
478,724,17,2010.0,138,1.33
479,10085,13,2014.0,138,0.96
480,9113,13,2011.0,138,1.58
481,8849,16,2003.0,446,1.04
482,4973,4,2008.0,359,1.57
483,4136,16,2002.0,137,1.36
484,9188,28,2009.0,85,1.82
485,10944,10,1996.0,359,1.98
486,8178,16,2003.0,456,2.22
487,10844,16,2005.0,488,1.45
488,11480,17,2009.0,456,1.76
489,7029,6,2001.0,53,2.07
490,5635,28,2007.0,323,1.83
491,10923,26,2006.0,359,0.87
492,1622,26,2007.0,6,1.43
493,9342,6,2002.0,359,1.75
494,2923,18,2013.0,138,0.61
495,10237,30,2014.0,138,1.84
496,8853,16,2004.0,446,1.54
497,8387,28,2008.0,446,1.75
498,11148,16,2003.0,275,0.08
499,6673,17,2012.0,138,0.71
500,4184,16,2001.0,456,0.99
501,1225,16,2004.0,21,1.51
502,11462,26,2011.0,296,1.54
503,9478,15,1999.0,456,2.03
504,4294,4,2007.0,525,1.3
505,1541,15,1998.0,91,0.09
506,1226,30,2013.0,21,1.87
507,5440,28,2012.0,138,2.53
508,9807,29,2002.0,525,2.09
509,6104,17,2011.0,549,1.98
510,2890,23,1990.0,359,1.37
511,11311,10,1997.0,359,1.29
512,1572,13,1996.0,542,1.37
513,8747,26,2011.0,21,1.4
514,2925,17,2015.0,138,0.4
515,498,17,2010.0,525,1.87
516,819,28,2007.0,494,1.65
517,5437,28,2009.0,138,2.52
518,5687,17,2010.0,138,1.28
519,10845,16,2002.0,488,1.32
520,5860,7,2002.0,359,1.96
521,3191,6,2003.0,488,1.59
522,6274,13,1994.0,424,0.02
523,6671,17,2010.0,138,1.05
524,4301,4,2007.0,525,1.32
525,10842,16,2003.0,488,1.32
526,9111,28,2008.0,288,1.74
527,11309,4,2006.0,359,1.47
528,4182,15,1997.0,456,0.29
529,4906,17,2011.0,456,1.45
530,88,15,1998.0,456,1.96
531,10855,16,2001.0,488,1.19
532,2489,23,1992.0,144,0.0
533,6110,15,1996.0,177,1.98
534,720,13,2011.0,138,0.89
535,6398,16,2001.0,138,2.19
536,7553,4,2009.0,359,0.3
537,6065,2,2011.0,359,0.46
538,4470,16,2003.0,456,1.68
539,11482,18,2014.0,456,1.27
540,7748,16,2003.0,456,1.44
541,9661,17,2009.0,347,1.2
542,10059,16,2003.0,138,1.41
543,8864,26,2007.0,446,1.24
544,8227,28,2011.0,488,1.25
545,5958,0,1980.0,53,2.56
546,5576,23,1992.0,359,1.43
547,494,18,2013.0,525,1.07
548,7367,10,2000.0,359,1.02
549,5857,11,1986.0,359,1.33
550,5087,28,2011.0,494,1.52
551,1218,28,2006.0,21,1.49
552,9961,6,2002.0,359,1.75
553,6923,16,2001.0,542,0.99
554,6111,18,2015.0,549,1.47
555,5577,10,1998.0,359,1.25
556,5439,28,2011.0,138,2.42
557,5118,16,2006.0,288,1.85
558,5438,28,2010.0,138,2.38
559,5603,4,2010.0,359,1.63
560,8731,28,2010.0,138,1.46
561,1114,16,2004.0,138,1.23
562,11297,2,2014.0,281,0.0
563,6678,17,2009.0,138,0.69
564,3182,17,2011.0,465,0.78
565,6104,8,1992.0,40,1.95
566,1215,16,2005.0,21,1.48
567,3806,28,2008.0,21,1.78
568,5687,15,1998.0,138,1.44
569,2959,29,2004.0,323,1.99
570,3930,4,2006.0,126,1.59
571,10315,16,2003.0,525,1.15
572,8745,26,2012.0,21,1.56
573,5689,19,2006.0,138,0.86
574,9330,11,1986.0,359,0.0
575,9107,10,1996.0,359,2.0
576,5120,28,2007.0,288,1.53
577,5896,16,2000.0,494,2.0
578,7041,19,2006.0,456,0.76
579,3897,28,2009.0,323,1.53
580,3628,17,2009.0,456,1.7
581,2695,16,2004.0,446,2.15
582,5593,26,2007.0,359,1.07
583,5687,28,2010.0,138,1.55
584,2938,28,2009.0,138,0.59
585,6335,28,2011.0,494,2.31
586,9228,4,2008.0,359,0.63
587,3948,16,2002.0,138,0.9
588,9326,26,2010.0,359,1.02
589,9197,8,1990.0,446,1.86
590,2936,17,2008.0,138,0.48
591,7745,17,2007.0,456,0.93
592,6383,16,2004.0,138,2.03
593,5234,19,2009.0,456,0.64
594,4909,18,2013.0,456,0.89
595,3567,28,2009.0,494,1.04
596,6056,19,2007.0,85,0.37
597,10838,16,2006.0,488,1.4
598,7753,16,2004.0,456,1.31
599,474,4,2010.0,359,0.28
600,2406,28,2009.0,138,1.76
601,5434,16,2007.0,138,2.14
602,8838,7,2001.0,446,1.7
603,2506,11,1987.0,144,0.15
604,5440,17,2012.0,138,2.11
605,7360,7,2003.0,359,1.21
606,1993,26,2008.0,275,1.13
607,5435,28,2008.0,138,2.21
608,8919,0,,53,2.36
609,1693,16,2001.0,17,1.13
610,7135,10,2000.0,359,1.55
611,3476,26,2007.0,325,1.5
612,2504,11,1986.0,85,0.49
613,10332,17,2013.0,465,0.6
614,5624,28,2006.0,21,2.29
615,7013,16,2008.0,275,0.13
616,5579,10,1999.0,359,1.28
617,8227,17,2011.0,488,0.86
618,8019,29,2003.0,494,1.84
619,5100,26,2010.0,549,1.29
620,6114,16,2002.0,325,1.81
621,7892,17,2008.0,456,1.15
622,7594,28,2008.0,126,1.38
623,10338,15,1998.0,137,1.15
624,6336,17,2012.0,494,1.72
625,7993,28,,138,1.93
626,6337,28,2013.0,494,2.1
627,5581,7,2002.0,359,1.13
628,11489,26,2010.0,488,1.67
629,5895,17,2008.0,494,1.55
630,3157,23,1992.0,466,0.0
631,3152,15,1997.0,466,0.93
632,10560,15,1996.0,456,2.12
633,3899,28,2011.0,323,1.44
634,6665,19,2006.0,138,0.87
635,10091,16,2003.0,138,1.07
636,7950,13,1997.0,424,1.52
637,10314,28,2008.0,525,1.56
638,8836,3,1998.0,446,1.26
639,4276,11,1988.0,359,1.27
640,11484,17,2010.0,275,0.29
641,2421,16,2003.0,53,1.63
642,122,16,2001.0,456,2.07
643,2163,15,1998.0,85,0.81
644,5930,30,2014.0,323,1.43
645,6677,16,2007.0,138,0.69
646,5442,30,2015.0,138,2.07
647,9726,15,1996.0,253,2.1
648,7523,11,1987.0,359,0.77
649,10161,13,1997.0,138,2.3
650,3336,6,,275,2.15
651,6663,18,2015.0,138,0.49
652,11461,28,2010.0,6,1.74
653,5103,26,,288,1.54
655,6033,13,1994.0,214,1.49
656,673,17,2013.0,549,1.07
657,1941,28,2011.0,120,1.48
658,3792,16,2005.0,426,1.67
659,5120,17,2007.0,288,1.02
660,4924,28,2011.0,323,1.73
661,10817,10,1998.0,488,1.94
662,920,18,2015.0,456,1.0
663,6338,18,2014.0,494,1.46
664,5438,17,2010.0,138,2.04
665,11366,16,2001.0,275,1.16
666,5434,28,2007.0,138,2.18
667,3885,13,2004.0,545,2.28
668,9895,16,2004.0,488,0.96
669,10365,16,2004.0,21,1.25
670,5437,17,2009.0,138,2.03
671,4922,28,2011.0,323,1.38
672,4981,5,1995.0,359,0.69
673,5100,4,2010.0,549,1.07
674,2335,5,1996.0,359,1.39
675,2509,5,1998.0,137,0.0
676,5895,28,2008.0,494,1.68
677,8746,26,2013.0,21,1.32
678,10837,16,2007.0,488,0.92
679,6235,26,2008.0,525,1.2
680,7865,16,2001.0,85,1.08
681,10074,28,2010.0,138,1.27
682,9966,2,2015.0,359,1.14
683,6339,30,2015.0,494,1.93
684,4709,26,2010.0,525,1.57
685,5596,10,2000.0,359,0.78
686,3708,15,1997.0,494,0.79
687,4486,16,2004.0,138,0.85
688,10920,4,2004.0,359,0.52
689,6661,15,1999.0,138,1.58
690,1445,23,1995.0,466,0.28
691,1628,15,1998.0,10,1.65
692,5109,28,2013.0,549,1.24
693,3768,13,2012.0,343,0.95
694,7345,4,2008.0,359,0.95
695,1941,17,2011.0,120,1.08
696,10334,13,1997.0,137,0.91
697,3632,17,2013.0,456,1.23
698,6669,29,2004.0,138,1.38
699,7509,17,2009.0,275,0.3
700,4704,26,2014.0,525,1.11
701,11299,2,2015.0,281,0.0
702,5563,11,1983.0,359,0.51
703,2936,16,2008.0,138,0.38
704,9111,17,2008.0,288,1.01
705,988,17,2012.0,494,1.05
706,9500,15,1997.0,91,0.07
707,7080,2,2012.0,359,1.12
708,8869,17,2009.0,446,1.34
709,9353,26,2006.0,446,1.07
710,4989,6,2002.0,359,1.22
711,10913,6,2001.0,359,0.9
712,3796,17,2007.0,21,1.4
713,1218,26,,21,1.19
714,7869,26,2007.0,85,1.34
715,5930,20,2014.0,458,0.28
716,6917,16,2002.0,85,0.62
717,1626,15,1997.0,522,1.52
718,7081,7,2004.0,359,1.48
719,5439,17,2011.0,138,1.93
720,6065,26,2009.0,359,0.67
721,2279,19,2008.0,465,0.51
722,8832,6,2001.0,446,1.19
723,9029,6,2001.0,545,1.29
724,9645,11,1990.0,275,1.74
725,5103,4,2008.0,21,1.42
726,1858,16,2009.0,275,1.09
727,6722,27,2013.0,359,1.27
728,7480,16,2003.0,525,0.88
729,8343,4,2009.0,549,1.71
730,9964,5,1998.0,359,1.0
731,6671,28,2010.0,138,1.03
732,820,28,2010.0,494,1.45
733,494,30,2013.0,525,1.47
734,2104,16,2006.0,85,1.06
735,7994,28,2008.0,138,1.78
736,3329,0,1981.0,391,2.06
737,3795,28,2007.0,21,2.01
738,10912,5,2000.0,359,1.11
739,7533,11,1986.0,347,0.15
740,8861,26,2008.0,446,1.28
741,4090,4,2007.0,126,1.06
742,7511,17,2011.0,275,0.34
743,8223,28,2006.0,488,1.17
744,9100,29,2003.0,21,1.68
745,4984,5,1992.0,359,0.87
746,2322,5,2000.0,359,1.04
747,4138,17,2012.0,465,0.59
748,11379,5,2000.0,275,0.0
749,123,16,2002.0,488,1.92
750,3291,30,2013.0,323,1.21
751,5450,28,2013.0,138,1.97
752,7343,4,2006.0,359,1.29
753,5556,6,2003.0,359,1.48
754,3181,28,2010.0,465,1.27
755,9106,10,1998.0,359,1.6
756,9684,11,1984.0,359,0.48
757,10094,13,2001.0,138,1.23
758,11317,26,2009.0,525,1.51
759,9479,15,2000.0,456,1.5
760,10312,18,2015.0,525,0.54
761,10807,11,1987.0,359,0.14
762,2924,30,2014.0,138,0.6
763,1233,19,2007.0,21,0.52
764,9338,23,1996.0,359,0.66
765,5481,11,1983.0,359,0.01
766,7662,11,1988.0,359,1.47
767,8667,13,1992.0,308,1.2
768,2025,0,1981.0,237,1.99
769,1847,16,2004.0,275,1.04
770,9722,4,2006.0,359,0.64
771,3154,6,2003.0,466,0.82
772,3049,18,2016.0,525,0.59
773,10442,4,2010.0,126,0.93
774,3146,4,2006.0,465,0.91
775,4983,26,2010.0,359,1.47
776,7560,29,2001.0,323,1.37
777,3670,5,1989.0,359,0.83
778,6335,17,2011.0,494,1.61
779,987,17,2009.0,494,1.2
780,10356,10,2000.0,21,1.68
